Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
Thierry Correia,pt POR,DF,25.0,11,9,768.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.3,0.6,16.0,44.0,48.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.08,0.04,0.08,Matches
Mouctar Diakhaby,gn GUI,DF,27.0,13,7,653.0,7.3,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,1.5,5.0,14.0,2.0,0.28,0.0,0.28,0.28,0.28,0.2,0.0,0.21,0.2,0.21,Matches
Rafa Mir,es ESP,"FW,MF",27.0,20,5,753.0,8.4,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,3.0,3.0,0.7,3.8,10.0,20.0,28.0,0.12,0.24,0.36,0.12,0.36,0.36,0.09,0.45,0.36,0.45,Matches
Dani Gómez,es ESP,FW,26.0,14,5,532.0,5.9,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.7,2.7,0.0,2.7,3.0,6.0,24.0,0.34,0.0,0.34,0.34,0.34,0.46,0.01,0.46,0.46,0.46,Matches
Francisco Perez,es ESP,"FW,MF",21.0,26,4,570.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,2.6,2.9,24.0,13.0,71.0,0.0,0.0,0.0,0.0,0.0,0.05,0.4,0.45,0.05,0.45,Matches
Hugo Guillamón,es ESP,MF,24.0,12,4,364.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches
Stole Dimitrievski,mk MKD,GK,30.0,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Sergi Canós,es ESP,"MF,FW",27.0,17,2,370.0,4.1,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,0.2,0.7,7.0,9.0,47.0,0.0,0.24,0.24,0.0,0.24,0.13,0.05,0.17,0.13,0.17,Matches
Ivan Jaime Pajuelo,es ESP,MF,23.0,9,2,297.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.3,1.0,8.0,15.0,14.0,0.0,0.0,0.0,0.0,0.0,0.19,0.1,0.3,0.19,0.3,Matches
Germán Valera,es ESP,MF,22.0,8,1,148.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.2,1.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.08,0.01,0.09,0.08,0.09,Matches
Max Aarons,eng ENG,"DF,MF",24.0,4,1,120.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches
Maximiliano Caufriez,be BEL,DF,27.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rodrigo Abajas,es ESP,DF,21.0,1,1,65.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches
Martín Tejón,es ESP,"MF,DF",20.0,4,0,49.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.16,0.05,0.21,0.16,0.21,Matches
Iker Córdoba,es ESP,DF,18.0,2,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.45,0.0,0.45,Matches
David Otorbi,es ESP,MF,16.0,1,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alberto Marí,es ESP,FW,23.0,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Vicent Abril Sanz,es ESP,GK,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Pedro Alemañ,es ESP,MF,22.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Hamza Bellari,es ESP,FW,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jaume Doménech,es ESP,GK,33.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Raúl Jiménez,es ESP,GK,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Ruben Lendinez,es ESP,DF,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Warren Madrigal,cr CRC,MF,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Lucas Núñez,es ESP,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Cenk Özkacar,tr TUR,DF,23.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,24.7,38,418,3420.0,38.0,43.0,26.0,69.0,38.0,5.0,5.0,86.0,1.0,43.2,39.3,30.0,69.3,572.0,1340.0,1328.0,1.13,0.68,1.82,1.0,1.68,1.14,0.79,1.93,1.03,1.82,
Opponent Total,,,26.8,38,418,3420.0,38.0,51.0,38.0,89.0,45.0,6.0,9.0,86.0,3.0,51.9,44.9,37.2,82.0,589.0,1419.0,1403.0,1.34,1.0,2.34,1.18,2.18,1.36,0.98,2.34,1.18,2.16,
