Name,Position,Age,Nationality,Current club,Season,MarketValueEuro,PrimaryNationality
Ibon Ispizua,Goalkeeper,20,Spain,Athletic Club,2022,100000.0,Spain
Ander Iru,Goalkeeper,24,Spain,Athletic Club,2022,100000.0,Spain
Yeray Álvarez,Centre-Back,28,Spain,Athletic Club,2022,15000000.0,Spain
Dani Vivian,Centre-Back,23,Spain,Athletic Club,2022,14000000.0,Spain
Iñigo Martínez,Centre-Back,32,Spain,Athletic Club,2022,10000000.0,Spain
Aitor Paredes,Centre-Back,23,Spain,Athletic Club,2022,1000000.0,Spain
Yuri Berchiche,Left-Back,33,Spain,Athletic Club,2022,2000000.0,Spain
Mikel Balenziaga,Left-Back,35,Spain,Athletic Club,2022,500000.0,Spain
Iñigo Lekue,Right-Back,30,Spain,Athletic Club,2022,3000000.0,Spain
Óscar de Marcos,Right-Back,34,Spain,Athletic Club,2022,1800000.0,Spain
Ander Capa,Right-Back,31,Spain,Athletic Club,2022,1800000.0,Spain
Mikel Vesga,Defensive Midfield,30,Spain,Athletic Club,2022,6000000.0,Spain
Peru Nolaskoain,Defensive Midfield,24,Spain,Athletic Club,2022,1000000.0,Spain
Unai Vencedor,Central Midfield,22,Spain,Athletic Club,2022,9000000.0,Spain
Oier Zarraga,Central Midfield,24,Spain,Athletic Club,2022,3000000.0,Spain
Ander Herrera,Central Midfield,33,Spain,Athletic Club,2022,2500000.0,Spain
Dani García,Central Midfield,33,Spain,Athletic Club,2022,2000000.0,Spain
Junior Bita,Central Midfield,18,Spain,Athletic Club,2022,50000.0,Spain
Oihan Sancet,Attacking Midfield,23,Spain,Athletic Club,2022,30000000.0,Spain
Iker Muniain,Attacking Midfield,30,Spain,Athletic Club,2022,9000000.0,Spain
Raúl García,Attacking Midfield,36,Spain,Athletic Club,2022,2500000.0,Spain
Unai Gómez,Attacking Midfield,20,Spain,Athletic Club,2022,100000.0,Spain
Nico Williams,Left Winger,20,Spain,Athletic Club,2022,30000000.0,Spain
Álex Berenguer,Left Winger,27,Spain,Athletic Club,2022,15000000.0,Spain
Jon Morcillo,Left Winger,24,Spain,Athletic Club,2022,3000000.0,Spain
Iñaki Williams,Right Winger,29,Ghana,Athletic Club,2022,25000000.0,Ghana
Adu Ares,Right Winger,21,Spain,Athletic Club,2022,500000.0,Spain
