Player,Age,Current club,Market value,Nat.,Season,Contract
"['Luiz Henrique', 'Right Winger']",22,Real Betis,€15.00m,Brazil,2022,"Jul 1, 2022"
"['Rodri Sánchez', 'Right Winger']",23,Real Betis,€8.00m,Spain,2022,"Jul 1, 2021"
"['Rober González', 'Right Winger']",22,Real Betis,€2.00m,Spain,2022,"Aug 1, 2020"
"['Joaquín', 'Right Winger']",41,Real Betis,€1.50m,Spain,2022,"Aug 31, 2015"
"['Borja Iglesias', 'Centre-Forward']",30,Real Betis,€20.00m,Spain,2022,"Aug 14, 2019"
"['Willian José', 'Centre-Forward']",31,Real Betis,€6.00m,Brazil,2022,"Jul 1, 2022"
"['Ayoze Pérez', 'Centre-Forward']",29,Real Betis,€6.00m,Spain,2022,"Jul 6, 2023"
"['Loren Morón', 'Centre-Forward']",29,Real Betis,€2.00m,Spain,2022,"Jan 30, 2018"
"['Rui Silva', 'Goalkeeper']",30,Real Betis,€8.00m,Portugal,2023,"Jul 1, 2021"
"['Claudio Bravo', 'Goalkeeper']",41,Real Betis,€800k,Chile,2023,"Aug 30, 2020"
"['Fran Vieites', 'Goalkeeper']",25,Real Betis,€500k,Spain,2023,"Jul 1, 2024"
"['Guilherme Fernandes', 'Goalkeeper']",23,Real Betis,€150k,Portugal,2023,
"['Germán García', 'Goalkeeper']",20,Real Betis,€25k,Spain,2023,
"['Chadi Riad', 'Centre-Back']",21,Real Betis,€15.00m,Morocco,2023,"Jul 1, 2024"
"['Luiz Felipe', 'Centre-Back']",27,Real Betis,€13.00m,Italy,2023,"Jul 4, 2022"
"['Germán Pezzella', 'Centre-Back']",33,Real Betis,€3.00m,Argentina,2023,"Aug 19, 2021"
"['Nobel Mendy', 'Centre-Back']",19,Real Betis,€1.00m,Senegal,2023,
"['Marc Bartra', 'Centre-Back']",33,Real Betis,€1.00m,Spain,2023,"Jul 24, 2023"
"['Sokratis Papastathopoulos', 'Centre-Back']",36,Real Betis,€700k,Greece,2023,"Oct 26, 2023"
"['Ricardo Visus', 'Centre-Back']",23,Real Betis,€150k,Spain,2023,"Jul 1, 2024"
"['Juan Miranda', 'Left-Back']",24,Real Betis,€9.00m,Spain,2023,"Jul 1, 2021"
"['Abner', 'Left-Back']",24,Real Betis,€7.00m,Brazil,2023,"Jan 15, 2023"
"['Xavi Pleguezuelo', 'Left-Back']",21,Real Betis,€100k,Spain,2023,
"['Héctor Bellerín', 'Right-Back']",29,Real Betis,€4.00m,Spain,2023,"Jul 18, 2023"
"['Aitor Ruibal', 'Right-Back']",28,Real Betis,€3.50m,Spain,2023,"Jul 1, 2019"
"['Youssouf Sabaly', 'Right-Back']",31,Real Betis,€2.50m,Senegal,2023,"Jul 1, 2021"
"['Pablo Busto', 'Right-Back']",18,Real Betis,€500k,Spain,2023,
"['Johnny Cardoso', 'Defensive Midfield']",22,Real Betis,€25.00m,United States,2023,"Jan 1, 2024"
"['Guido Rodríguez', 'Defensive Midfield']",30,Real Betis,€20.00m,Argentina,2023,"Jan 14, 2020"
"['Marc Roca', 'Defensive Midfield']",27,Real Betis,€9.00m,Spain,2023,"Jul 1, 2024"
"['William Carvalho', 'Defensive Midfield']",32,Real Betis,€3.00m,Portugal,2023,"Jul 13, 2018"
"['Paul Akouokou', 'Defensive Midfield']",26,Real Betis,€1.50m,Cote d'Ivoire,2023,"Sep 10, 2020"
"['Pablo Fornals', 'Central Midfield']",28,Real Betis,€14.00m,Spain,2023,"Feb 1, 2024"
"['Sergi Altimira', 'Central Midfield']",22,Real Betis,€2.50m,Spain,2023,"Aug 11, 2023"
"['Andrés Guardado', 'Central Midfield']",37,Real Betis,€1.00m,Mexico,2023,"Jul 7, 2017"
"['Ginés Sorroche', 'Central Midfield']",20,Real Betis,€300k,Spain,2023,
"['Quique Fernández', 'Central Midfield']",20,Real Betis,€150k,Spain,2023,
"['Nabil Fekir', 'Attacking Midfield']",30,Real Betis,€10.00m,France,2023,"Jul 23, 2019"
"['Isco', 'Attacking Midfield']",32,Real Betis,€8.00m,Spain,2023,"Jul 26, 2023"
"['Dani Pérez', 'Attacking Midfield']",18,Real Betis,€500k,Spain,2023,
"['Abde Ezzalzouli', 'Left Winger']",22,Real Betis,€9.00m,Morocco,2023,"Sep 1, 2023"
"['Juan Cruz', 'Left Winger']",24,Real Betis,€1.50m,Spain,2023,"Jul 1, 2023"
"['Luiz Henrique', 'Right Winger']",23,Real Betis,€12.00m,Brazil,2023,"Jul 1, 2022"
"['Assane Diao', 'Right Winger']",18,Real Betis,€12.00m,Senegal,2023,"Oct 1, 2023"
"['Rodri Sánchez', 'Right Winger']",24,Real Betis,€3.00m,Spain,2023,"Jul 1, 2021"
"['Ayoze Pérez', 'Centre-Forward']",30,Real Betis,€7.00m,Spain,2023,"Jul 6, 2023"
"['Borja Iglesias', 'Centre-Forward']",31,Real Betis,€5.00m,Spain,2023,"Aug 14, 2019"
"['Willian José', 'Centre-Forward']",32,Real Betis,€5.00m,Brazil,2023,"Jul 1, 2022"
"['Chimy Ávila', 'Centre-Forward']",30,Real Betis,€3.00m,Argentina,2023,"Feb 1, 2024"
"['Cédric Bakambu', 'Centre-Forward']",33,Real Betis,€2.50m,DR Congo,2023,"Feb 1, 2024"
"['Rui Silva', 'Goalkeeper']",31,Real Betis,€7.00m,Portugal,2024,"Jun 30, 2026"
"['Fran Vieites', 'Goalkeeper']",26,Real Betis,€2.00m,Spain,2024,"Jun 30, 2026"
"['Adrián', 'Goalkeeper']",38,Real Betis,€500k,Spain,2024,"Jun 30, 2026"
"['Natan', 'Centre-Back']",24,Real Betis,€9.00m,Brazil,2024,"Jun 30, 2025"
"['Diego Llorente', 'Centre-Back']",31,Real Betis,€6.00m,Spain,2024,"Jun 30, 2028"
"['Marc Bartra', 'Centre-Back']",34,Real Betis,€1.00m,Spain,2024,"Jun 30, 2027"
"['Ricardo Visus', 'Centre-Back']",24,Real Betis,€750k,Spain,2024,"Jun 30, 2027"
"['Romain Perraud', 'Left-Back']",27,Real Betis,€5.00m,France,2024,"Jun 30, 2029"
"['Ricardo Rodríguez', 'Left-Back']",32,Real Betis,€2.00m,Switzerland,2024,"Jun 30, 2026"
"['Aitor Ruibal', 'Right-Back']",29,Real Betis,€3.50m,Spain,2024,"Jun 30, 2028"
"['Ángel Ortiz', 'Right-Back']",20,Real Betis,€2.50m,Spain,2024,"Jun 30, 2029"
"['Héctor Bellerín', 'Right-Back']",30,Real Betis,€2.00m,Spain,2024,"Jun 30, 2028"
"['Youssouf Sabaly', 'Right-Back']",32,Real Betis,€1.80m,Senegal,2024,"Jun 30, 2026"
"['Johnny Cardoso', 'Defensive Midfield']",23,Real Betis,€25.00m,United States,2024,"Jun 30, 2030"
"['Marc Roca', 'Defensive Midfield']",28,Real Betis,€6.00m,Spain,2024,"Jun 30, 2029"
"['William Carvalho', 'Defensive Midfield']",33,Real Betis,€1.50m,Portugal,2024,"Jun 30, 2026"
"['Sergi Altimira', 'Central Midfield']",23,Real Betis,€15.00m,Spain,2024,"Jun 30, 2029"
"['Pablo Fornals', 'Central Midfield']",29,Real Betis,€6.00m,Spain,2024,"Jun 30, 2029"
"['Mateo Flores', 'Central Midfield']",21,Real Betis,€1.00m,Spain,2024,"Jun 30, 2029"
"['Giovani Lo Celso', 'Attacking Midfield']",29,Real Betis,€15.00m,Argentina,2024,"Jun 30, 2028"
"['Isco', 'Attacking Midfield']",33,Real Betis,€6.00m,Spain,2024,"Jun 30, 2027"
"['Jesús Rodríguez', 'Left Winger']",19,Real Betis,€30.00m,Spain,2024,"Jun 30, 2029"
"['Abde Ezzalzouli', 'Left Winger']",23,Real Betis,€12.00m,Morocco,2024,"Jun 30, 2029"
"['Juanmi', 'Left Winger']",32,Real Betis,€2.00m,Spain,2024,"Jun 30, 2026"
"['Álex Collado', 'Right Winger']",26,Real Betis,€2.20m,Spain,2024,"Jun 30, 2029"
"['Iker Losada', 'Second Striker']",23,Real Betis,€1.50m,Spain,2024,"Jun 30, 2029"
"['Cucho Hernández', 'Centre-Forward']",26,Real Betis,€18.00m,Colombia,2024,"Jun 30, 2030"
"['Borja Iglesias', 'Centre-Forward']",32,Real Betis,€3.00m,Spain,2024,"Jun 30, 2026"
"['Chimy Ávila', 'Centre-Forward']",31,Real Betis,€2.00m,Argentina,2024,"Jun 30, 2027"
"['Cédric Bakambu', 'Centre-Forward']",34,Real Betis,€1.50m,DR Congo,2024,"Jun 30, 2026"
