Player,Age,Current club,Market value,Nat.,Season,Contract
"['Federico Valverde', 'Central Midfield']",23,Real Madrid CF,€70.00m,Uruguay,2021,"Jul 1, 2018"
"['Eduardo Camavinga', 'Central Midfield']",19,Real Madrid CF,€55.00m,France,2021,"Aug 31, 2021"
"['Toni Kroos', 'Central Midfield']",32,Real Madrid CF,€20.00m,Germany,2021,"Jul 17, 2014"
"['Dani Ceballos', 'Central Midfield']",25,Real Madrid CF,€14.00m,Spain,2021,"Jul 14, 2017"
"['Luka Modrić', 'Central Midfield']",36,Real Madrid CF,€10.00m,Croatia,2021,"Aug 27, 2012"
"['Marco Asensio', 'Attacking Midfield']",26,Real Madrid CF,€40.00m,Spain,2021,"Jul 1, 2015"
"['Isco', 'Attacking Midfield']",30,Real Madrid CF,€7.50m,Spain,2021,"Jul 1, 2013"
"['Vinicius Junior', 'Left Winger']",21,Real Madrid CF,€100.00m,Brazil,2021,"Jul 12, 2018"
"['Eden Hazard', 'Left Winger']",31,Real Madrid CF,€12.00m,Belgium,2021,"Jul 1, 2019"
"['Rodrygo', 'Right Winger']",21,Real Madrid CF,€60.00m,Brazil,2021,"Jul 1, 2019"
"['Gareth Bale', 'Right Winger']",32,Real Madrid CF,€3.00m,Wales,2021,"Sep 1, 2013"
"['Peter Federico', 'Right Winger']",19,Real Madrid CF,€1.00m,Dominican Republic,2021,
"['Karim Benzema', 'Centre-Forward']",34,Real Madrid CF,€30.00m,France,2021,"Jul 9, 2009"
"['Luka Jović', 'Centre-Forward']",24,Real Madrid CF,€16.00m,Serbia,2021,"Jul 2, 2019"
"['Mariano Díaz', 'Centre-Forward']",28,Real Madrid CF,€6.00m,Dominican Republic,2021,"Aug 29, 2018"
"['Juanmi Latasa', 'Centre-Forward']",21,Real Madrid CF,€1.00m,Spain,2021,"Jul 1, 2022"
"['Thibaut Courtois', 'Goalkeeper']",31,Real Madrid CF,€45.00m,Belgium,2022,"Aug 9, 2018"
"['Andriy Lunin', 'Goalkeeper']",24,Real Madrid CF,€5.00m,Ukraine,2022,"Jul 1, 2018"
"['Mario de Luis', 'Goalkeeper']",21,Real Madrid CF,€500k,Spain,2022,
"['Luis López', 'Goalkeeper']",22,Real Madrid CF,€300k,Spain,2022,
"['Lucas Cañizares', 'Goalkeeper']",21,Real Madrid CF,€200k,Spain,2022,
"['Diego Piñeiro', 'Goalkeeper']",19,Real Madrid CF,€0,Spain,2022,
"['Fran González', 'Goalkeeper']",18,Real Madrid CF,€0,Spain,2022,
"['Éder Militão', 'Centre-Back']",25,Real Madrid CF,€70.00m,Brazil,2022,"Jul 1, 2019"
"['David Alaba', 'Centre-Back']",31,Real Madrid CF,€40.00m,Austria,2022,"Jul 1, 2021"
"['Antonio Rüdiger', 'Centre-Back']",30,Real Madrid CF,€32.00m,Germany,2022,"Jul 1, 2022"
"['Nacho Fernández', 'Centre-Back']",33,Real Madrid CF,€6.00m,Spain,2022,"Sep 1, 2012"
"['Jesús Vallejo', 'Centre-Back']",26,Real Madrid CF,€2.00m,Spain,2022,"Jul 31, 2015"
"['Marvel', 'Centre-Back']",20,Real Madrid CF,€1.00m,Spain,2022,
"['Ferland Mendy', 'Left-Back']",28,Real Madrid CF,€25.00m,France,2022,"Jul 1, 2019"
"['Daniel Carvajal', 'Right-Back']",31,Real Madrid CF,€12.00m,Spain,2022,"Jul 1, 2013"
"['Lucas Vázquez', 'Right-Back']",31,Real Madrid CF,€8.00m,Spain,2022,"Jul 2, 2015"
"['Álvaro Odriozola', 'Right-Back']",27,Real Madrid CF,€5.00m,Spain,2022,"Jul 5, 2018"
"['Vinícius Tobias', 'Right-Back']",19,Real Madrid CF,€3.00m,Brazil,2022,
"['Aurélien Tchouaméni', 'Defensive Midfield']",23,Real Madrid CF,€85.00m,France,2022,"Jul 1, 2022"
"['Casemiro', 'Defensive Midfield']",31,Real Madrid CF,€40.00m,Brazil,2022,"Jul 2, 2015"
"['Mario Martín', 'Defensive Midfield']",19,Real Madrid CF,€250k,Spain,2022,"Jun 1, 2025"
"['Federico Valverde', 'Central Midfield']",24,Real Madrid CF,€100.00m,Uruguay,2022,"Jul 1, 2018"
"['Eduardo Camavinga', 'Central Midfield']",20,Real Madrid CF,€85.00m,France,2022,"Aug 31, 2021"
"['Toni Kroos', 'Central Midfield']",33,Real Madrid CF,€15.00m,Germany,2022,"Jul 17, 2014"
"['Dani Ceballos', 'Central Midfield']",26,Real Madrid CF,€12.00m,Spain,2022,"Jul 14, 2017"
"['Luka Modrić', 'Central Midfield']",37,Real Madrid CF,€10.00m,Croatia,2022,"Aug 27, 2012"
"['Carlos Dotor', 'Central Midfield']",22,Real Madrid CF,€700k,Spain,2022,
"['Marco Asensio', 'Attacking Midfield']",27,Real Madrid CF,€25.00m,Spain,2022,"Jul 1, 2015"
"['Sergio Arribas', 'Attacking Midfield']",21,Real Madrid CF,€5.00m,Spain,2022,
"['Nico Paz', 'Attacking Midfield']",18,Real Madrid CF,€2.00m,Argentina,2022,
"['Vinicius Junior', 'Left Winger']",22,Real Madrid CF,€150.00m,Brazil,2022,"Jul 12, 2018"
"['Eden Hazard', 'Left Winger']",32,Real Madrid CF,€5.00m,Belgium,2022,"Jul 1, 2019"
