Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
Brais Méndez,es ESP,MF,27.0,27,19,1531.0,17.0,3.0,2.0,5.0,3.0,0.0,0.0,4.0,0.0,3.5,3.5,2.0,5.5,32.0,91.0,86.0,0.18,0.12,0.29,0.18,0.29,0.21,0.12,0.33,0.21,0.33
Aritz Elustondo,es ESP,DF,30.0,22,16,1457.0,16.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.4,0.4,0.2,0.6,17.0,51.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04
Ander Barrenetxea,es ESP,"MF,FW",22.0,30,14,1263.0,14.0,1.0,3.0,4.0,1.0,0.0,0.0,6.0,0.0,1.6,1.6,1.9,3.6,43.0,48.0,152.0,0.07,0.21,0.29,0.07,0.29,0.12,0.14,0.26,0.12,0.26
Pablo Marín,es ESP,MF,21.0,23,14,1239.0,13.8,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,1.4,1.4,1.0,2.4,20.0,45.0,47.0,0.07,0.15,0.22,0.07,0.22,0.1,0.07,0.17,0.1,0.17
Aihen Muñoz,es ESP,DF,26.0,21,13,1098.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.2,0.2,0.3,0.4,26.0,38.0,28.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.04,0.01,0.04
Sheraldo Becker,sr SUR,"FW,MF",29.0,22,11,995.0,11.1,2.0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,4.0,51.0,23.0,110.0,0.18,0.09,0.27,0.18,0.27,0.18,0.18,0.36,0.18,0.36
Beñat Turrientes,es ESP,MF,22.0,21,11,942.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.6,0.6,0.2,0.7,18.0,42.0,28.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.07,0.05,0.07
Orri Steinn Óskarsson,is ISL,FW,19.0,23,9,944.0,10.5,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,5.2,5.2,0.2,5.4,6.0,9.0,50.0,0.29,0.0,0.29,0.29,0.29,0.5,0.02,0.52,0.5,0.52
Jon Pacheco,es ESP,DF,23.0,14,9,854.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.1,0.2,12.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02
Hamari Traoré,ml MLI,DF,32.0,11,9,700.0,7.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2,0.3,12.0,26.0,20.0,0.0,0.13,0.13,0.0,0.13,0.01,0.03,0.04,0.01,0.04
Olasagasti,es ESP,MF,23.0,22,7,857.0,9.5,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.9,0.9,0.8,1.7,11.0,38.0,41.0,0.11,0.11,0.21,0.11,0.21,0.1,0.08,0.18,0.1,0.18
