Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Ander Barrenetxea,es ESP,"MF,FW",22.0,14.0,375,529,70.9,6235,1409,202,241,83.8,118,163,72.4,42,71,59.2,3,1.9,2.5,1.1,16,23,22,4,48
Pablo Marín,es ESP,MF,21.0,13.8,374,467,80.1,5952,1090,173,209,82.8,165,195,84.6,23,35,65.7,2,1.0,0.8,1.0,14,38,9,2,45
Aihen Muñoz,es ESP,DF,26.0,12.2,448,631,71.0,7078,2813,238,263,90.5,172,235,73.2,26,97,26.8,0,0.3,0.3,-0.3,3,38,3,2,38
Sheraldo Becker,sr SUR,"FW,MF",29.0,11.1,200,313,63.9,3391,742,105,132,79.5,77,121,63.6,15,33,45.5,1,2.0,1.7,-1.0,8,6,17,5,23
Beñat Turrientes,es ESP,MF,22.0,10.5,405,452,89.6,6925,1458,203,220,92.3,145,155,93.5,43,58,74.1,0,0.2,0.4,-0.2,3,40,2,1,42
Orri Steinn Óskarsson,is ISL,FW,19.0,10.5,104,197,52.8,1158,178,72,113,63.7,22,38,57.9,0,6,0.0,0,0.2,0.5,-0.2,5,4,3,1,9
Jon Pacheco,es ESP,DF,23.0,9.5,411,494,83.2,7915,2381,154,172,89.5,211,229,92.1,46,85,54.1,0,0.1,0.4,-0.1,1,28,2,0,27
Hamari Traoré,ml MLI,DF,32.0,7.8,381,460,82.8,6499,2206,184,201,91.5,161,197,81.7,35,53,66.0,1,0.2,0.4,0.8,3,17,5,2,26
Olasagasti,es ESP,MF,23.0,9.5,314,407,77.1,4887,942,166,198,83.8,111,136,81.6,22,41,53.7,1,0.8,0.7,0.2,6,34,8,0,38
Jon Martin,es ESP,DF,18.0,10.0,468,539,86.8,9130,2975,136,155,87.7,292,314,93.0,37,59,62.7,1,0.2,0.2,0.8,4,19,2,0,34
Umar Sadiq,ng NGA,FW,27.0,2.5,25,48,52.1,349,77,17,28,60.7,6,10,60.0,1,2,50.0,0,0.2,0.1,-0.2,1,2,0,0,5
Unai Marrero,es ESP,GK,22.0,2.0,46,57,80.7,1155,682,9,9,100.0,25,26,96.2,12,21,57.1,0,0.0,0.0,0.0,0,0,0,0,0
Arkaitz Mariezkurrena,es ESP,"FW,MF",19.0,2.7,47,68,69.1,662,125,33,42,78.6,12,14,85.7,1,4,25.0,0,0.1,0.2,-0.1,2,1,4,1,4
Arsen Zakharyan,ru RUS,"MF,FW",21.0,0.8,28,33,84.8,451,106,17,20,85.0,6,7,85.7,4,5,80.0,0,0.1,0.1,-0.1,1,3,1,0,3
Urko González,es ESP,MF,23.0,0.5,10,17,58.8,171,61,7,11,63.6,1,3,33.3,2,2,100.0,0,0.0,0.0,0.0,0,0,0,0,1
Álvaro Odriozola,es ESP,DF,28.0,0.5,22,30,73.3,344,111,11,12,91.7,6,12,50.0,3,4,75.0,0,0.0,0.0,0.0,0,4,1,1,3
Daniel Díaz,es ESP,MF,18.0,0.1,1,3,33.3,20,0,0,0,,1,3,33.3,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Luken Beitia,es ESP,DF,20.0,0.1,5,5,100.0,108,22,1,1,100.0,2,2,100.0,2,2,100.0,0,0.0,0.0,0.0,0,0,0,0,0
Jon Magunazelaia,es ESP,MF,23.0,0.1,7,13,53.8,117,30,3,7,42.9,4,4,100.0,0,0,,0,0.0,0.1,0.0,0,0,0,0,1
Squad Total,,,25.2,38.0,14880,18759,79.3,261975,89905,6750,7619,88.6,6360,7434,85.6,1421,2687,52.9,22,30.9,30.7,-8.9,284,1087,242,64,1341
Opponent Total,,,26.8,38.0,12635,16415,77.0,229468,84576,5620,6418,87.6,5326,6305,84.5,1400,2797,50.1,32,29.0,31.9,3.0,321,1061,236,68,1141
