Name,Position,Age,Nationality,Current club,Season,MarketValueEuro,PrimaryNationality
Germán Pezzella,Centre-Back,31,Argentina,Real Betis,2021,5000000.0,Argentina
Sidnei,Centre-Back,32,Brazil,Real Betis,2021,2000000.0,Brazil
Víctor Ruiz,Centre-Back,33,Spain,Real Betis,2021,1500000.0,Spain
Kike Hermoso,Centre-Back,22,Spain,Real Betis,2021,200000.0,Spain
Álex Moreno,Left-Back,29,Spain,Real Betis,2021,18000000.0,Spain
Juan Miranda,Left-Back,22,Spain,Real Betis,2021,5000000.0,Spain
Marc Baró,Left-Back,22,Spain,Real Betis,2021,200000.0,Spain
José Calderón,Left-Back,22,Spain,Real Betis,2021,200000.0,Spain
Héctor Bellerín,Right-Back,27,Spain,Real Betis,2021,20000000.0,Spain
Youssouf Sabaly,Right-Back,29,Senegal,Real Betis,2021,3000000.0,Senegal
Aitor Ruibal,Right-Back,26,Spain,Real Betis,2021,3000000.0,Spain
Martín Montoya,Right-Back,31,Spain,Real Betis,2021,1500000.0,Spain
Fran Delgado,Right-Back,20,Spain,Real Betis,2021,400000.0,Spain
Guido Rodríguez,Defensive Midfield,28,Argentina,Real Betis,2021,25000000.0,Argentina
William Carvalho,Defensive Midfield,30,Portugal,Real Betis,2021,16000000.0,Portugal
Paul Akouokou,Defensive Midfield,24,Cote d'Ivoire,Real Betis,2021,4000000.0,Cote d'Ivoire
Andrés Guardado,Central Midfield,35,Mexico,Real Betis,2021,1500000.0,Mexico
Víctor Camarasa,Central Midfield,28,Spain,Real Betis,2021,1000000.0,Spain
Antonio Marchena,Central Midfield,19,Spain,Real Betis,2021,100000.0,Spain
Nabil Fekir,Attacking Midfield,28,France,Real Betis,2021,40000000.0,France
Sergio Canales,Attacking Midfield,31,Spain,Real Betis,2021,20000000.0,Spain
Yassin Fekir,Attacking Midfield,25,France,Real Betis,2021,300000.0,France
Juanmi,Left Winger,29,Spain,Real Betis,2021,15000000.0,Spain
Cristian Tello,Left Winger,30,Spain,Real Betis,2021,5000000.0,Spain
Rodri Sánchez,Right Winger,22,Spain,Real Betis,2021,4000000.0,Spain
Diego Lainez,Right Winger,22,Mexico,Real Betis,2021,2500000.0,Mexico
Rober González,Right Winger,21,Spain,Real Betis,2021,2000000.0,Spain
Joaquín,Right Winger,40,Spain,Real Betis,2021,1500000.0,Spain
Borja Iglesias,Centre-Forward,29,Spain,Real Betis,2021,15000000.0,Spain
Willian José,Centre-Forward,30,Brazil,Real Betis,2021,12000000.0,Brazil
Loren Morón,Centre-Forward,28,Spain,Real Betis,2021,4000000.0,Spain
Raúl García,Centre-Forward,21,Spain,Real Betis,2021,500000.0,Spain
Rui Silva,Goalkeeper,29,Portugal,Real Betis,2022,15000000.0,Portugal
Dani Martín,Goalkeeper,24,Spain,Real Betis,2022,1500000.0,Spain
Claudio Bravo,Goalkeeper,40,Chile,Real Betis,2022,1000000.0,Chile
Fran Vieites,Goalkeeper,24,Spain,Real Betis,2022,200000.0,Spain
Luiz Felipe,Centre-Back,26,Italy,Real Betis,2022,15000000.0,Italy
Edgar González,Centre-Back,26,Spain,Real Betis,2022,9000000.0,Spain
Germán Pezzella,Centre-Back,32,Argentina,Real Betis,2022,5000000.0,Argentina
Víctor Ruiz,Centre-Back,34,Spain,Real Betis,2022,1200000.0,Spain
Félix Garreta,Centre-Back,19,Spain,Real Betis,2022,200000.0,Spain
Ricardo Visus,Centre-Back,22,Spain,Real Betis,2022,150000.0,Spain
Álex Moreno,Left-Back,30,Spain,Real Betis,2022,15000000.0,Spain
Abner,Left-Back,23,Brazil,Real Betis,2022,7000000.0,Brazil
Juan Miranda,Left-Back,23,Spain,Real Betis,2022,7000000.0,Spain
Youssouf Sabaly,Right-Back,30,Senegal,Real Betis,2022,5000000.0,Senegal
Aitor Ruibal,Right-Back,27,Spain,Real Betis,2022,5000000.0,Spain
Martín Montoya,Right-Back,32,Spain,Real Betis,2022,1200000.0,Spain
Fran Delgado,Right-Back,21,Spain,Real Betis,2022,350000.0,Spain
Guido Rodríguez,Defensive Midfield,29,Argentina,Real Betis,2022,28000000.0,Argentina
William Carvalho,Defensive Midfield,31,Portugal,Real Betis,2022,14000000.0,Portugal
Paul Akouokou,Defensive Midfield,25,Cote d'Ivoire,Real Betis,2022,3500000.0,Cote d'Ivoire
Andrés Guardado,Central Midfield,36,Mexico,Real Betis,2022,1500000.0,Mexico
Víctor Camarasa,Central Midfield,29,Spain,Real Betis,2022,800000.0,Spain
Quique Fernández,Central Midfield,19,Spain,Real Betis,2022,150000.0,Spain
Nabil Fekir,Attacking Midfield,29,France,Real Betis,2022,20000000.0,France
Sergio Canales,Attacking Midfield,32,Spain,Real Betis,2022,15000000.0,Spain
Dani Pérez,Attacking Midfield,17,Spain,Real Betis,2022,300000.0,Spain
Juanmi,Left Winger,30,Spain,Real Betis,2022,12000000.0,Spain
Juan Cruz,Left Winger,23,Spain,Real Betis,2022,1500000.0,Spain
José Alonso Lara,Left Winger,23,Spain,Real Betis,2022,350000.0,Spain
Luiz Henrique,Right Winger,22,Brazil,Real Betis,2022,15000000.0,Brazil
Rodri Sánchez,Right Winger,23,Spain,Real Betis,2022,8000000.0,Spain
Rober González,Right Winger,22,Spain,Real Betis,2022,2000000.0,Spain
Joaquín,Right Winger,41,Spain,Real Betis,2022,1500000.0,Spain
Borja Iglesias,Centre-Forward,30,Spain,Real Betis,2022,20000000.0,Spain
Willian José,Centre-Forward,31,Brazil,Real Betis,2022,6000000.0,Brazil
Ayoze Pérez,Centre-Forward,29,Spain,Real Betis,2022,6000000.0,Spain
Loren Morón,Centre-Forward,29,Spain,Real Betis,2022,2000000.0,Spain
Rui Silva,Goalkeeper,30,Portugal,Real Betis,2023,8000000.0,Portugal
Claudio Bravo,Goalkeeper,41,Chile,Real Betis,2023,800000.0,Chile
Fran Vieites,Goalkeeper,25,Spain,Real Betis,2023,500000.0,Spain
Guilherme Fernandes,Goalkeeper,23,Portugal,Real Betis,2023,150000.0,Portugal
Germán García,Goalkeeper,20,Spain,Real Betis,2023,25000.0,Spain
Chadi Riad,Centre-Back,21,Morocco,Real Betis,2023,15000000.0,Morocco
Luiz Felipe,Centre-Back,27,Italy,Real Betis,2023,13000000.0,Italy
Germán Pezzella,Centre-Back,33,Argentina,Real Betis,2023,3000000.0,Argentina
Nobel Mendy,Centre-Back,19,Senegal,Real Betis,2023,1000000.0,Senegal
Marc Bartra,Centre-Back,33,Spain,Real Betis,2023,1000000.0,Spain
Sokratis Papastathopoulos,Centre-Back,36,Greece,Real Betis,2023,700000.0,Greece
Ricardo Visus,Centre-Back,23,Spain,Real Betis,2023,150000.0,Spain
Juan Miranda,Left-Back,24,Spain,Real Betis,2023,9000000.0,Spain
Abner,Left-Back,24,Brazil,Real Betis,2023,7000000.0,Brazil
Xavi Pleguezuelo,Left-Back,21,Spain,Real Betis,2023,100000.0,Spain
Héctor Bellerín,Right-Back,29,Spain,Real Betis,2023,4000000.0,Spain
Aitor Ruibal,Right-Back,28,Spain,Real Betis,2023,3500000.0,Spain
Youssouf Sabaly,Right-Back,31,Senegal,Real Betis,2023,2500000.0,Senegal
Pablo Busto,Right-Back,18,Spain,Real Betis,2023,500000.0,Spain
Johnny Cardoso,Defensive Midfield,22,United States,Real Betis,2023,25000000.0,United States
Guido Rodríguez,Defensive Midfield,30,Argentina,Real Betis,2023,20000000.0,Argentina
Marc Roca,Defensive Midfield,27,Spain,Real Betis,2023,9000000.0,Spain
William Carvalho,Defensive Midfield,32,Portugal,Real Betis,2023,3000000.0,Portugal
Paul Akouokou,Defensive Midfield,26,Cote d'Ivoire,Real Betis,2023,1500000.0,Cote d'Ivoire
Pablo Fornals,Central Midfield,28,Spain,Real Betis,2023,14000000.0,Spain
Sergi Altimira,Central Midfield,22,Spain,Real Betis,2023,2500000.0,Spain
Andrés Guardado,Central Midfield,37,Mexico,Real Betis,2023,1000000.0,Mexico
Ginés Sorroche,Central Midfield,20,Spain,Real Betis,2023,300000.0,Spain
Quique Fernández,Central Midfield,20,Spain,Real Betis,2023,150000.0,Spain
Nabil Fekir,Attacking Midfield,30,France,Real Betis,2023,10000000.0,France
Isco,Attacking Midfield,32,Spain,Real Betis,2023,8000000.0,Spain
Dani Pérez,Attacking Midfield,18,Spain,Real Betis,2023,500000.0,Spain
Abde Ezzalzouli,Left Winger,22,Morocco,Real Betis,2023,9000000.0,Morocco
Juan Cruz,Left Winger,24,Spain,Real Betis,2023,1500000.0,Spain
Luiz Henrique,Right Winger,23,Brazil,Real Betis,2023,12000000.0,Brazil
Assane Diao,Right Winger,18,Senegal,Real Betis,2023,12000000.0,Senegal
Rodri Sánchez,Right Winger,24,Spain,Real Betis,2023,3000000.0,Spain
Ayoze Pérez,Centre-Forward,30,Spain,Real Betis,2023,7000000.0,Spain
Borja Iglesias,Centre-Forward,31,Spain,Real Betis,2023,5000000.0,Spain
Willian José,Centre-Forward,32,Brazil,Real Betis,2023,5000000.0,Brazil
Chimy Ávila,Centre-Forward,30,Argentina,Real Betis,2023,3000000.0,Argentina
Cédric Bakambu,Centre-Forward,33,DR Congo,Real Betis,2023,2500000.0,DR Congo
Rui Silva,Goalkeeper,31,Portugal,Real Betis,2024,7000000.0,Portugal
Fran Vieites,Goalkeeper,26,Spain,Real Betis,2024,2000000.0,Spain
Adrián,Goalkeeper,38,Spain,Real Betis,2024,500000.0,Spain
Natan,Centre-Back,24,Brazil,Real Betis,2024,9000000.0,Brazil
Diego Llorente,Centre-Back,31,Spain,Real Betis,2024,6000000.0,Spain
Marc Bartra,Centre-Back,34,Spain,Real Betis,2024,1000000.0,Spain
Ricardo Visus,Centre-Back,24,Spain,Real Betis,2024,750000.0,Spain
Romain Perraud,Left-Back,27,France,Real Betis,2024,5000000.0,France
Ricardo Rodríguez,Left-Back,32,Switzerland,Real Betis,2024,2000000.0,Switzerland
Aitor Ruibal,Right-Back,29,Spain,Real Betis,2024,3500000.0,Spain
Ángel Ortiz,Right-Back,20,Spain,Real Betis,2024,2500000.0,Spain
Héctor Bellerín,Right-Back,30,Spain,Real Betis,2024,2000000.0,Spain
Youssouf Sabaly,Right-Back,32,Senegal,Real Betis,2024,1800000.0,Senegal
Johnny Cardoso,Defensive Midfield,23,United States,Real Betis,2024,25000000.0,United States
Marc Roca,Defensive Midfield,28,Spain,Real Betis,2024,6000000.0,Spain
William Carvalho,Defensive Midfield,33,Portugal,Real Betis,2024,1500000.0,Portugal
Sergi Altimira,Central Midfield,23,Spain,Real Betis,2024,15000000.0,Spain
Pablo Fornals,Central Midfield,29,Spain,Real Betis,2024,6000000.0,Spain
Mateo Flores,Central Midfield,21,Spain,Real Betis,2024,1000000.0,Spain
Giovani Lo Celso,Attacking Midfield,29,Argentina,Real Betis,2024,15000000.0,Argentina
Isco,Attacking Midfield,33,Spain,Real Betis,2024,6000000.0,Spain
Jesús Rodríguez,Left Winger,19,Spain,Real Betis,2024,30000000.0,Spain
Abde Ezzalzouli,Left Winger,23,Morocco,Real Betis,2024,12000000.0,Morocco
Juanmi,Left Winger,32,Spain,Real Betis,2024,2000000.0,Spain
Álex Collado,Right Winger,26,Spain,Real Betis,2024,2200000.0,Spain
Iker Losada,Second Striker,23,Spain,Real Betis,2024,1500000.0,Spain
Cucho Hernández,Centre-Forward,26,Colombia,Real Betis,2024,18000000.0,Colombia
Borja Iglesias,Centre-Forward,32,Spain,Real Betis,2024,3000000.0,Spain
Chimy Ávila,Centre-Forward,31,Argentina,Real Betis,2024,2000000.0,Argentina
Cédric Bakambu,Centre-Forward,34,DR Congo,Real Betis,2024,1500000.0,DR Congo
