Player,Age,Current club,Market value,Nat.,Season,Contract
"['Julen Agirrezabala', 'Goalkeeper']",21,Athletic Club,€5.00m,Spain,2021,"Jul 1, 2022"
"['Jokin Ezkieta', 'Goalkeeper']",25,Athletic Club,€300k,Spain,2021,"Aug 4, 2020"
"['Ander Iru', 'Goalkeeper']",23,Athletic Club,€100k,Spain,2021,"Jul 1, 2022"
"['Iñigo Martínez', 'Centre-Back']",31,Athletic Club,€25.00m,Spain,2021,"Jan 30, 2018"
"['Yeray Álvarez', 'Centre-Back']",27,Athletic Club,€13.00m,Spain,2021,"Jul 1, 2016"
"['Dani Vivian', 'Centre-Back']",22,Athletic Club,€12.00m,Spain,2021,"Aug 1, 2020"
"['Unai Núñez', 'Centre-Back']",25,Athletic Club,€9.00m,Spain,2021,"Aug 28, 2024"
"['Aitor Paredes', 'Centre-Back']",22,Athletic Club,€200k,Spain,2021,"Jul 1, 2022"
"['Yuri Berchiche', 'Left-Back']",32,Athletic Club,€3.00m,Spain,2021,"Jul 2, 2018"
"['Mikel Balenziaga', 'Left-Back']",34,Athletic Club,€1.20m,Spain,2021,"Jul 1, 2013"
"['Iñigo Lekue', 'Right-Back']",29,Athletic Club,€3.00m,Spain,2021,"Jul 1, 2016"
"['Ander Capa', 'Right-Back']",30,Athletic Club,€2.50m,Spain,2021,"Jul 1, 2018"
"['Óscar de Marcos', 'Right-Back']",33,Athletic Club,€1.80m,Spain,2021,"Jul 1, 2009"
"['Álex Petxarroman', 'Right-Back']",25,Athletic Club,€1.00m,Spain,2021,"Jul 1, 2021"
"['Mikel Vesga', 'Defensive Midfield']",29,Athletic Club,€3.00m,Spain,2021,"Jul 1, 2016"
"['Peru Nolaskoain', 'Defensive Midfield']",23,Athletic Club,€1.50m,Spain,2021,"Jul 1, 2019"
"['Unai Vencedor', 'Central Midfield']",21,Athletic Club,€20.00m,Spain,2021,"Aug 1, 2020"
"['Oier Zarraga', 'Central Midfield']",23,Athletic Club,€3.50m,Spain,2021,"Feb 1, 2021"
"['Dani García', 'Central Midfield']",32,Athletic Club,€3.00m,Spain,2021,"Jul 1, 2018"
"['Iker Muniain', 'Attacking Midfield']",29,Athletic Club,€16.00m,Spain,2021,"Jul 1, 2009"
"['Oihan Sancet', 'Attacking Midfield']",22,Athletic Club,€15.00m,Spain,2021,"Aug 4, 2020"
"['Raúl García', 'Attacking Midfield']",35,Athletic Club,€2.50m,Spain,2021,"Aug 30, 2015"
"['Álex Berenguer', 'Left Winger']",26,Athletic Club,€12.00m,Spain,2021,"Oct 2, 2020"
"['Nico Williams', 'Left Winger']",19,Athletic Club,€12.00m,Spain,2021,"Jul 1, 2021"
"['Jon Morcillo', 'Left Winger']",23,Athletic Club,€4.00m,Spain,2021,"Aug 1, 2020"
"['Nico Serrano', 'Left Winger']",19,Athletic Club,€2.50m,Spain,2021,"Jul 1, 2022"
"['Luis Bilbao', 'Left Winger']",19,Athletic Club,€250k,Spain,2021,
"['Iñaki Williams', 'Right Winger']",28,Athletic Club,€25.00m,Ghana,2021,"Jul 1, 2015"
"['Juan Artola', 'Right Winger']",22,Athletic Club,€700k,Spain,2021,"Jul 1, 2022"
"['Asier Villalibre', 'Centre-Forward']",24,Athletic Club,€3.00m,Spain,2021,"Jul 1, 2019"
"['Unai Simón', 'Goalkeeper']",26,Athletic Club,€25.00m,Spain,2022,"Jul 1, 2018"
"['Julen Agirrezabala', 'Goalkeeper']",22,Athletic Club,€5.00m,Spain,2022,"Jul 1, 2022"
"['Ibon Ispizua', 'Goalkeeper']",20,Athletic Club,€100k,Spain,2022,
"['Ander Iru', 'Goalkeeper']",24,Athletic Club,€100k,Spain,2022,"Jul 1, 2022"
"['Yeray Álvarez', 'Centre-Back']",28,Athletic Club,€15.00m,Spain,2022,"Jul 1, 2016"
"['Dani Vivian', 'Centre-Back']",23,Athletic Club,€14.00m,Spain,2022,"Aug 1, 2020"
"['Iñigo Martínez', 'Centre-Back']",32,Athletic Club,€10.00m,Spain,2022,"Jan 30, 2018"
"['Aitor Paredes', 'Centre-Back']",23,Athletic Club,€1.00m,Spain,2022,"Jul 1, 2022"
"['Yuri Berchiche', 'Left-Back']",33,Athletic Club,€2.00m,Spain,2022,"Jul 2, 2018"
"['Mikel Balenziaga', 'Left-Back']",35,Athletic Club,€500k,Spain,2022,"Jul 1, 2013"
"['Iñigo Lekue', 'Right-Back']",30,Athletic Club,€3.00m,Spain,2022,"Jul 1, 2016"
"['Óscar de Marcos', 'Right-Back']",34,Athletic Club,€1.80m,Spain,2022,"Jul 1, 2009"
"['Ander Capa', 'Right-Back']",31,Athletic Club,€1.80m,Spain,2022,"Jul 1, 2018"
"['Mikel Vesga', 'Defensive Midfield']",30,Athletic Club,€6.00m,Spain,2022,"Jul 1, 2016"
"['Peru Nolaskoain', 'Defensive Midfield']",24,Athletic Club,€1.00m,Spain,2022,"Jul 1, 2019"
"['Unai Vencedor', 'Central Midfield']",22,Athletic Club,€9.00m,Spain,2022,"Aug 1, 2020"
"['Oier Zarraga', 'Central Midfield']",24,Athletic Club,€3.00m,Spain,2022,"Feb 1, 2021"
"['Ander Herrera', 'Central Midfield']",33,Athletic Club,€2.50m,Spain,2022,"Jan 31, 2023"
"['Dani García', 'Central Midfield']",33,Athletic Club,€2.00m,Spain,2022,"Jul 1, 2018"
"['Junior Bita', 'Central Midfield']",18,Athletic Club,€50k,Spain,2022,
"['Oihan Sancet', 'Attacking Midfield']",23,Athletic Club,€30.00m,Spain,2022,"Aug 4, 2020"
"['Iker Muniain', 'Attacking Midfield']",30,Athletic Club,€9.00m,Spain,2022,"Jul 1, 2009"
"['Raúl García', 'Attacking Midfield']",36,Athletic Club,€2.50m,Spain,2022,"Aug 30, 2015"
"['Unai Gómez', 'Attacking Midfield']",20,Athletic Club,€100k,Spain,2022,"Jul 1, 2023"
"['Nico Williams', 'Left Winger']",20,Athletic Club,€30.00m,Spain,2022,"Jul 1, 2021"
"['Álex Berenguer', 'Left Winger']",27,Athletic Club,€15.00m,Spain,2022,"Oct 2, 2020"
"['Jon Morcillo', 'Left Winger']",24,Athletic Club,€3.00m,Spain,2022,"Aug 1, 2020"
"['Iñaki Williams', 'Right Winger']",29,Athletic Club,€25.00m,Ghana,2022,"Jul 1, 2015"
"['Adu Ares', 'Right Winger']",21,Athletic Club,€500k,Spain,2022,"Jul 1, 2023"
"['Asier Villalibre', 'Centre-Forward']",25,Athletic Club,€2.50m,Spain,2022,"Jul 1, 2019"
"['Gorka Guruzeta', 'Centre-Forward']",26,Athletic Club,€2.00m,Spain,2022,"Jul 3, 2022"
"['Unai Simón', 'Goalkeeper']",27,Athletic Club,€30.00m,Spain,2023,"Jul 1, 2018"
"['Julen Agirrezabala', 'Goalkeeper']",23,Athletic Club,€5.00m,Spain,2023,"Jul 1, 2022"
"['Álex Padilla', 'Goalkeeper']",20,Athletic Club,€200k,Mexico,2023,"Jul 1, 2024"
"['Dani Vivian', 'Centre-Back']",24,Athletic Club,€25.00m,Spain,2023,"Aug 1, 2020"
"['Aitor Paredes', 'Centre-Back']",24,Athletic Club,€22.00m,Spain,2023,"Jul 1, 2022"
"['Yeray Álvarez', 'Centre-Back']",29,Athletic Club,€8.00m,Spain,2023,"Jul 1, 2016"
"['Unai Egiluz', 'Centre-Back']",22,Athletic Club,€100k,Spain,2023,"Jul 1, 2024"
"['Yuri Berchiche', 'Left-Back']",34,Athletic Club,€1.80m,Spain,2023,"Jul 2, 2018"
"['Imanol García de Albéniz', 'Left-Back']",24,Athletic Club,€1.20m,Spain,2023,"Jul 1, 2021"
"['Iñigo Lekue', 'Right-Back']",31,Athletic Club,€3.00m,Spain,2023,"Jul 1, 2016"
"['Óscar de Marcos', 'Right-Back']",35,Athletic Club,€1.50m,Spain,2023,"Jul 1, 2009"
"['Hugo Rincón', 'Right-Back']",21,Athletic Club,€250k,Spain,2023,"Jul 1, 2024"
"['Mikel Vesga', 'Defensive Midfield']",31,Athletic Club,€4.00m,Spain,2023,"Jul 1, 2016"
"['Peru Nolaskoain', 'Defensive Midfield']",25,Athletic Club,€1.00m,Spain,2023,"Jul 1, 2019"
"['Beñat Prados', 'Central Midfield']",23,Athletic Club,€15.00m,Spain,2023,"Jul 1, 2022"
"['Iñigo Ruiz de Galarreta', 'Central Midfield']",30,Athletic Club,€5.00m,Spain,2023,"Jul 1, 2023"
"['Ander Herrera', 'Central Midfield']",34,Athletic Club,€2.00m,Spain,2023,"Jan 31, 2023"
"['Dani García', 'Central Midfield']",34,Athletic Club,€1.80m,Spain,2023,"Jul 1, 2018"
"['Mikel Jauregizar', 'Central Midfield']",20,Athletic Club,€800k,Spain,2023,"Jul 1, 2024"
"['Oihan Sancet', 'Attacking Midfield']",24,Athletic Club,€35.00m,Spain,2023,"Aug 4, 2020"
"['Unai Gómez', 'Attacking Midfield']",21,Athletic Club,€6.00m,Spain,2023,"Jul 1, 2023"
"['Iker Muniain', 'Attacking Midfield']",31,Athletic Club,€5.00m,Spain,2023,"Jul 1, 2009"
"['Raúl García', 'Attacking Midfield']",37,Athletic Club,€1.50m,Spain,2023,"Aug 30, 2015"
"['Nico Williams', 'Left Winger']",21,Athletic Club,€60.00m,Spain,2023,"Jul 1, 2021"
"['Álex Berenguer', 'Left Winger']",28,Athletic Club,€12.00m,Spain,2023,"Oct 2, 2020"
"['Iñaki Williams', 'Right Winger']",30,Athletic Club,€25.00m,Ghana,2023,"Jul 1, 2015"
"['Adu Ares', 'Right Winger']",22,Athletic Club,€2.00m,Spain,2023,"Jul 1, 2023"
"['Aingeru Olabarrieta', 'Right Winger']",18,Athletic Club,€500k,Spain,2023,
"['Gorka Guruzeta', 'Centre-Forward']",27,Athletic Club,€18.00m,Spain,2023,"Jul 3, 2022"
"['Asier Villalibre', 'Centre-Forward']",26,Athletic Club,€2.50m,Spain,2023,"Jul 1, 2019"
"['Javi Martón', 'Centre-Forward']",25,Athletic Club,€500k,Spain,2023,"Jul 5, 2023"
"['Unai Simón', 'Goalkeeper']",28,Athletic Club,€28.00m,Spain,2024,"Jun 30, 2029"
"['Julen Agirrezabala', 'Goalkeeper']",24,Athletic Club,€15.00m,Spain,2024,"Jun 30, 2027"
"['Álex Padilla', 'Goalkeeper']",21,Athletic Club,€3.00m,Mexico,2024,"Jun 30, 2029"
"['Dani Vivian', 'Centre-Back']",25,Athletic Club,€40.00m,Spain,2024,"Jun 30, 2032"
"['Aitor Paredes', 'Centre-Back']",25,Athletic Club,€22.00m,Spain,2024,"Jun 30, 2029"
"['Yeray Álvarez', 'Centre-Back']",30,Athletic Club,€7.00m,Spain,2024,"Jun 30, 2026"
"['Unai Egiluz', 'Centre-Back']",23,Athletic Club,€600k,Spain,2024,"Jun 30, 2025"
"['Adama Boiro', 'Left-Back']",23,Athletic Club,€2.50m,Spain,2024,"Jun 30, 2029"
"['Yuri Berchiche', 'Left-Back']",35,Athletic Club,€1.40m,Spain,2024,"Jun 30, 2026"
"['Andoni Gorosabel', 'Right-Back']",28,Athletic Club,€5.00m,Spain,2024,"Jun 30, 2028"
"['Hugo Rincón', 'Right-Back']",22,Athletic Club,€2.00m,Spain,2024,"Jun 30, 2028"
"['Iñigo Lekue', 'Right-Back']",32,Athletic Club,€2.00m,Spain,2024,"Jun 30, 2026"
"['Óscar de Marcos', 'Right-Back']",36,Athletic Club,€1.50m,Spain,2024,"Jun 30, 2025"
"['Mikel Vesga', 'Defensive Midfield']",32,Athletic Club,€2.50m,Spain,2024,"Jun 30, 2027"
"['Mikel Jauregizar', 'Central Midfield']",21,Athletic Club,€30.00m,Spain,2024,"Jun 30, 2031"
"['Beñat Prados', 'Central Midfield']",24,Athletic Club,€18.00m,Spain,2024,"Jun 30, 2031"
"['Iñigo Ruiz de Galarreta', 'Central Midfield']",31,Athletic Club,€3.00m,Spain,2024,"Jun 30, 2027"
"['Unai Vencedor', 'Central Midfield']",24,Athletic Club,€2.20m,Spain,2024,"Jun 30, 2027"
"['Oihan Sancet', 'Attacking Midfield']",25,Athletic Club,€60.00m,Spain,2024,"Jun 30, 2032"
"['Unai Gómez', 'Attacking Midfield']",22,Athletic Club,€6.00m,Spain,2024,"Jun 30, 2028"
"['Peio Canales', 'Attacking Midfield']",20,Athletic Club,€1.00m,Spain,2024,"Jun 30, 2027"
"['Nico Williams', 'Left Winger']",22,Athletic Club,€70.00m,Spain,2024,"Jun 30, 2027"
"['Álex Berenguer', 'Left Winger']",29,Athletic Club,€9.00m,Spain,2024,"Jun 30, 2027"
"['Álvaro Djaló', 'Left Winger']",25,Athletic Club,€5.00m,Spain,2024,"Jun 30, 2029"
"['Nico Serrano', 'Left Winger']",22,Athletic Club,€1.20m,Spain,2024,"Jun 30, 2028"
"['Iñaki Williams', 'Right Winger']",31,Athletic Club,€15.00m,Ghana,2024,"Jun 30, 2028"
"['Adu Ares', 'Right Winger']",23,Athletic Club,€1.60m,Spain,2024,"Jun 30, 2027"
"['Maroan Sannadi', 'Centre-Forward']",24,Athletic Club,€10.00m,Morocco,2024,"Jun 30, 2029"
"['Gorka Guruzeta', 'Centre-Forward']",28,Athletic Club,€9.00m,Spain,2024,"Jun 30, 2028"
"['Urko Izeta', 'Centre-Forward']",25,Athletic Club,€2.00m,Spain,2024,"Jun 30, 2027"
"['Javi Martón', 'Centre-Forward']",26,Athletic Club,€500k,Spain,2024,"Jun 30, 2026"
