Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Rafa Mir,es ESP,"FW,MF",27.0,8.4,1,27,7,25.9,3.23,0.84,0.04,0.14,16.5,0,0,0,3.0,3.0,0.11,-2.0,-2.0
Dani Gómez,es ESP,FW,26.0,5.9,2,14,6,42.9,2.37,1.02,0.14,0.33,12.1,0,0,0,2.7,2.7,0.19,-0.7,-0.7
Francisco Perez,es ESP,"FW,MF",21.0,6.3,0,6,1,16.7,0.95,0.16,0.0,0.0,18.3,0,0,0,0.3,0.3,0.05,-0.3,-0.3
Hugo Guillamón,es ESP,MF,24.0,4.0,0,2,1,50.0,0.49,0.25,0.0,0.0,24.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Stole Dimitrievski,mk MKD,GK,30.0,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Sergi Canós,es ESP,"MF,FW",27.0,4.1,0,11,3,27.3,2.68,0.73,0.0,0.0,19.8,0,0,0,0.5,0.5,0.05,-0.5,-0.5
Ivan Jaime Pajuelo,es ESP,MF,23.0,3.3,0,8,3,37.5,2.42,0.91,0.0,0.0,18.7,0,0,0,0.6,0.6,0.08,-0.6,-0.6
Germán Valera,es ESP,MF,22.0,1.6,0,3,2,66.7,1.82,1.22,0.0,0.0,21.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Max Aarons,eng ENG,"DF,MF",24.0,1.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Maximiliano Caufriez,be BEL,DF,27.0,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Rodrigo Abajas,es ESP,DF,21.0,0.7,0,1,0,0.0,1.38,0.0,0.0,,24.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Martín Tejón,es ESP,"MF,DF",20.0,0.5,0,1,0,0.0,1.84,0.0,0.0,,11.7,0,0,0,0.1,0.1,0.08,-0.1,-0.1
Iker Córdoba,es ESP,DF,18.0,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
David Otorbi,es ESP,MF,16.0,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Alberto Marí,es ESP,FW,23.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Squad Total,,,24.7,38.0,43,382,116,30.4,10.05,3.05,0.1,0.33,17.2,6,5,5,43.2,39.3,0.11,-0.2,-1.3
Opponent Total,,,26.8,38.0,51,417,140,33.6,10.97,3.68,0.11,0.32,17.7,11,6,9,51.9,44.9,0.11,-0.9,0.1
