Player,Season,Nation,Nationality,Pos,Position,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl.1,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def_Pen,Att_Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,MarketValueEuro,Current club
Aurélien Tchouaméni,2425,fr FRA,France,"DF,MF",Defensive Midfield,24,32,31,2689,29.9,0,0,0,0,0,0,5,0,1.7,1.7,0.6,2.2,19,154,13,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.07,0.06,0.07,19.0,3.0,15.8,0.64,0.1,0.0,0.0,17.1,0.0,0.09,-1.7,-1.7,1869.0,2025.0,92.3,32598.0,10694.0,787.0,827.0,95.2,925.0,979.0,94.5,134.0,177.0,75.7,0.9,-0.6,5.0,176.0,9.0,1.0,1936.0,86.0,0.0,9.0,12.0,6.0,0.0,0.0,0.0,0.0,3.0,10.0,34.0,1.14,33.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,23.0,25.0,19.0,3.0,21.0,51.2,20.0,9.0,46.0,93.0,92.0,1.0,2324.0,216.0,25.0,10.0,62.5,3.0,18.8,1440.0,1.0,23.0,8.0,1689.0,75000000.0,Real Madrid CF
Álvaro Carrillo,2324,es ESP,Spain,DF,Centre-Back,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300000.0,Real Madrid CF
Brahim Díaz,2324,ma MAR,Morocco,"FW,MF",Right Winger,23,31,18,1545.0,17.2,8.0,6.0,14.0,8.0,0.0,0.0,0.0,0.0,5.7,5.7,4.4,10.1,76.0,75.0,166.0,0.47,0.35,0.82,0.47,0.82,0.33,0.26,0.59,0.33,0.59,38.0,17.0,44.7,2.21,0.99,0.21,0.47,16.0,0.0,0.15,2.3,2.3,624.0,740.0,84.3,7892.0,1835.0,430.0,463.0,92.9,132.0,170.0,77.6,23.0,40.0,57.5,4.7,1.6,30.0,42.0,34.0,7.0,705.0,29.0,7.0,2.0,31.0,6.0,7.0,3.0,2.0,0.0,6.0,12.0,75.0,4.37,49.0,2.0,13.0,4.0,1.0,18.0,1.05,12.0,1.0,5.0,0.0,0.0,0.0,29.0,19.0,4.0,16.0,9.0,6.0,46.2,7.0,15.0,5.0,34.0,2.0,0.0,971.0,8.0,93.0,55.0,50.5,49.0,45.0,694.0,32.0,48.0,42.0,801.0,40000000.0,Real Madrid CF
Brahim Díaz,2425,ma MAR,Morocco,"FW,MF",Right Winger,24,31,16,1385,15.4,4,2,6,4,0,0,0,0,5.3,5.3,3.3,8.6,39,74,110,0.26,0.13,0.39,0.26,0.39,0.34,0.22,0.56,0.34,0.56,28.0,15.0,53.6,1.82,0.97,0.14,0.27,12.6,0.0,0.19,-1.3,-1.3,573.0,660.0,86.8,7322.0,1909.0,393.0,432.0,91.0,141.0,163.0,86.5,14.0,21.0,66.7,2.3,-1.3,23.0,56.0,19.0,0.0,635.0,19.0,8.0,1.0,8.0,8.0,0.0,0.0,0.0,0.0,6.0,13.0,56.0,3.64,43.0,0.0,6.0,1.0,1.0,12.0,0.78,7.0,0.0,1.0,3.0,0.0,1.0,25.0,19.0,9.0,13.0,3.0,7.0,36.8,12.0,15.0,4.0,29.0,2.0,1.0,833.0,5.0,66.0,24.0,51.1,19.0,40.4,541.0,12.0,44.0,27.0,669.0,40000000.0,Real Madrid CF
Carlos Dotor,2223,es ESP,Spain,MF,Central Midfield,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700000.0,Real Madrid CF
Casemiro,2223,br BRA,Brazil,MF,Defensive Midfield,30,1,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,7.0,8.0,87.5,134.0,50.0,6.0,6.0,100.0,0.0,0.0,,1.0,2.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,11.0,1.0,0.0,0.0,,0.0,,7.0,0.0,1.0,0.0,7.0,40000000.0,Real Madrid CF
Chema,2425,es ESP,,MF,,19,2,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,1.0,1.0,100.0,16.0,0.0,0.0,0.0,,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,,0.0,,0.0,0.0,1.0,0.0,0.0,,
Dani Carvajal,2223,es ESP,Spain,DF,Right-Back,30,27,20,1784.0,19.8,0.0,2.0,2.0,0.0,0.0,0.0,8.0,1.0,0.8,0.8,2.0,2.8,22.0,58.0,147.0,0.0,0.1,0.1,0.0,0.1,0.04,0.1,0.14,0.04,0.14,12.0,0.0,0.0,0.61,0.0,0.0,,17.5,0.0,0.06,-0.8,-0.8,1133.0,1333.0,85.0,18356.0,4041.0,607.0,664.0,91.4,416.0,483.0,86.1,86.0,123.0,69.9,2.0,0.0,22.0,57.0,21.0,8.0,1185.0,146.0,2.0,10.0,49.0,131.0,0.0,0.0,0.0,0.0,2.0,27.0,40.0,2.02,37.0,0.0,0.0,1.0,1.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,32.0,18.0,15.0,12.0,5.0,18.0,51.4,17.0,18.0,15.0,47.0,49.0,0.0,1512.0,85.0,39.0,9.0,52.9,5.0,29.4,864.0,3.0,23.0,7.0,1049.0,12000000.0,Real Madrid CF
Dani Carvajal,2324,es ESP,Spain,DF,Right-Back,31,28,25,2171.0,24.1,4.0,3.0,7.0,4.0,0.0,0.0,5.0,1.0,1.7,1.7,2.7,4.4,30.0,82.0,168.0,0.17,0.12,0.29,0.17,0.29,0.07,0.11,0.18,0.07,0.18,18.0,10.0,55.6,0.75,0.41,0.22,0.4,14.3,0.0,0.1,2.3,2.3,1265.0,1475.0,85.8,19955.0,4535.0,679.0,744.0,91.3,486.0,552.0,88.0,76.0,111.0,68.5,3.1,0.3,21.0,52.0,26.0,5.0,1284.0,190.0,3.0,3.0,49.0,153.0,0.0,0.0,0.0,0.0,1.0,34.0,44.0,1.82,41.0,0.0,1.0,2.0,0.0,7.0,0.29,6.0,0.0,0.0,0.0,1.0,0.0,47.0,32.0,28.0,15.0,4.0,23.0,54.8,19.0,19.0,22.0,69.0,54.0,4.0,1697.0,101.0,59.0,9.0,40.9,11.0,50.0,939.0,9.0,22.0,18.0,1126.0,12000000.0,Real Madrid CF
Dani Carvajal,2425,es ESP,Spain,DF,Right-Back,32,8,7,609,6.8,1,0,1,1,0,0,1,0,1.3,1.3,0.2,1.5,13,27,48,0.15,0.00,0.15,0.15,0.15,0.19,0.03,0.22,0.19,0.22,3.0,1.0,33.3,0.44,0.15,0.33,1.0,3.4,0.0,0.44,-0.3,-0.3,399.0,463.0,86.2,6523.0,1419.0,197.0,212.0,92.9,170.0,195.0,87.2,26.0,35.0,74.3,0.3,-0.2,5.0,20.0,5.0,0.0,409.0,53.0,0.0,0.0,14.0,46.0,0.0,0.0,0.0,0.0,1.0,9.0,12.0,1.77,10.0,2.0,0.0,0.0,0.0,2.0,0.3,1.0,1.0,0.0,0.0,0.0,0.0,12.0,8.0,7.0,3.0,2.0,9.0,75.0,3.0,5.0,10.0,22.0,19.0,1.0,532.0,26.0,12.0,2.0,40.0,3.0,60.0,278.0,0.0,8.0,6.0,376.0,8000000.0,Real Madrid CF
Dani Ceballos,2223,es ESP,Spain,MF,Central Midfield,25,30,19,1564.0,17.4,0.0,4.0,4.0,0.0,0.0,0.0,8.0,0.0,0.9,0.9,2.1,3.0,60.0,204.0,60.0,0.0,0.23,0.23,0.0,0.23,0.05,0.12,0.17,0.05,0.17,18.0,5.0,27.8,1.04,0.29,0.0,0.0,21.0,0.0,0.05,-0.9,-0.9,1362.0,1504.0,90.6,21362.0,6610.0,745.0,785.0,94.9,445.0,475.0,93.7,117.0,146.0,80.1,2.0,1.9,30.0,198.0,18.0,1.0,1437.0,57.0,6.0,26.0,16.0,20.0,9.0,2.0,2.0,0.0,10.0,25.0,81.0,4.66,60.0,8.0,5.0,5.0,1.0,9.0,0.52,8.0,0.0,0.0,0.0,1.0,0.0,43.0,29.0,13.0,15.0,15.0,25.0,39.1,39.0,21.0,25.0,68.0,6.0,1.0,1690.0,29.0,34.0,40.0,60.6,22.0,33.3,1243.0,7.0,19.0,26.0,1366.0,12000000.0,Real Madrid CF
Dani Ceballos,2324,es ESP,Spain,"MF,FW",Central Midfield,26,20,5,598.0,6.6,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,1.5,1.8,16.0,47.0,23.0,0.0,0.3,0.3,0.0,0.3,0.05,0.22,0.27,0.05,0.27,7.0,1.0,14.3,1.05,0.15,0.0,0.0,18.4,1.0,0.05,-0.3,-0.3,486.0,542.0,89.7,7205.0,1731.0,301.0,317.0,95.0,136.0,153.0,88.9,34.0,45.0,75.6,1.0,0.5,11.0,48.0,6.0,0.0,519.0,22.0,5.0,5.0,8.0,5.0,6.0,1.0,2.0,0.0,1.0,10.0,25.0,3.77,22.0,0.0,1.0,2.0,0.0,2.0,0.3,2.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,4.0,5.0,1.0,5.0,35.7,9.0,7.0,0.0,10.0,4.0,1.0,609.0,9.0,15.0,5.0,33.3,8.0,53.3,425.0,1.0,9.0,13.0,497.0,6000000.0,Real Madrid CF
Dani Ceballos,2425,es ESP,Spain,MF,Central Midfield,27,23,15,1215,13.5,0,0,0,0,0,0,4,0,0.4,0.4,1.6,2.0,42,150,17,0.00,0.00,0.00,0.00,0.00,0.03,0.12,0.15,0.03,0.15,7.0,2.0,28.6,0.52,0.15,0.0,0.0,22.5,0.0,0.05,-0.4,-0.4,1284.0,1361.0,94.3,20805.0,5972.0,639.0,655.0,97.6,529.0,550.0,96.2,82.0,103.0,79.6,2.0,-1.6,22.0,156.0,10.0,0.0,1306.0,52.0,4.0,7.0,14.0,14.0,7.0,4.0,2.0,0.0,3.0,13.0,57.0,4.22,50.0,5.0,1.0,1.0,0.0,5.0,0.37,4.0,1.0,0.0,0.0,0.0,0.0,41.0,21.0,17.0,18.0,6.0,20.0,50.0,20.0,12.0,14.0,55.0,10.0,2.0,1473.0,35.0,9.0,8.0,53.3,3.0,20.0,999.0,2.0,11.0,7.0,1206.0,10000000.0,Real Madrid CF
Daniel Yáñez,2425,es ESP,,FW,,17,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,0.0,0.0,0.0,1.0,,
David Alaba,2223,at AUT,Austria,DF,Centre-Back,30,23,21,1838.0,20.4,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,0.8,0.8,1.1,1.9,16.0,67.0,60.0,0.05,0.15,0.2,0.05,0.2,0.04,0.05,0.09,0.04,0.09,14.0,3.0,21.4,0.69,0.15,0.07,0.33,19.8,5.0,0.06,0.2,0.2,1042.0,1189.0,87.6,15258.0,5475.0,601.0,626.0,96.0,340.0,388.0,87.6,53.0,99.0,53.5,1.3,1.9,16.0,68.0,9.0,4.0,1082.0,98.0,4.0,3.0,26.0,46.0,3.0,3.0,0.0,0.0,9.0,11.0,27.0,1.32,23.0,3.0,0.0,0.0,0.0,4.0,0.2,3.0,0.0,0.0,1.0,0.0,0.0,15.0,11.0,8.0,4.0,3.0,9.0,60.0,6.0,9.0,14.0,29.0,37.0,1.0,1293.0,137.0,22.0,3.0,75.0,1.0,25.0,779.0,2.0,7.0,5.0,938.0,40000000.0,Real Madrid CF
David Alaba,2324,at AUT,Austria,DF,Centre-Back,31,14,14,1154.0,12.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.7,1.6,9.0,51.0,13.0,0.0,0.08,0.08,0.0,0.08,0.08,0.05,0.13,0.08,0.13,14.0,3.0,21.4,1.09,0.23,0.0,0.0,19.8,6.0,0.07,-1.0,-1.0,810.0,904.0,89.6,12977.0,4997.0,447.0,464.0,96.3,297.0,330.0,90.0,49.0,84.0,58.3,0.8,0.3,10.0,56.0,5.0,0.0,835.0,65.0,4.0,7.0,17.0,5.0,12.0,7.0,3.0,0.0,4.0,2.0,18.0,1.4,13.0,4.0,0.0,0.0,0.0,1.0,0.08,0.0,1.0,0.0,0.0,0.0,0.0,13.0,9.0,7.0,5.0,1.0,4.0,50.0,4.0,3.0,15.0,28.0,34.0,0.0,1004.0,127.0,11.0,0.0,,0.0,,699.0,0.0,5.0,1.0,730.0,20000000.0,Real Madrid CF
David Alaba,2425,at AUT,Austria,DF,Centre-Back,32,7,4,317,3.5,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,7,4,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,0.0,0.0,,0.0,0.0,,,,0.0,,0.0,0.0,206.0,228.0,90.4,3522.0,1456.0,90.0,90.0,100.0,96.0,98.0,98.0,15.0,32.0,46.9,0.1,-0.1,1.0,11.0,1.0,0.0,214.0,13.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.57,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,6.0,7.0,7.0,0.0,247.0,36.0,2.0,0.0,,0.0,,180.0,0.0,1.0,0.0,199.0,6000000.0,Real Madrid CF
David Jiménez,2425,es ESP,,DF,,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
