Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Juanmi,es ESP,FW,29.0,10.3,4,18,8,44.4,1.75,0.78,0.22,0.5,12.8,0,0,0,3.7,3.7,0.2,0.3,0.3,Matches
Abner,br BRA,DF,22.0,6.7,0,5,1,20.0,0.74,0.15,0.0,0.0,13.6,0,0,0,1.7,1.7,0.34,-1.7,-1.7,Matches
Willian José,br BRA,FW,30.0,8.1,2,20,6,30.0,2.46,0.74,0.05,0.17,18.7,2,1,1,2.9,2.2,0.11,-0.9,-1.2,Matches
Martín Montoya,es ESP,DF,31.0,5.0,0,1,0,0.0,0.2,0.0,0.0,,21.3,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Víctor Ruiz,es ESP,DF,33.0,6.2,0,1,0,0.0,0.16,0.0,0.0,,8.6,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches
Paul Akouokou,ci CIV,"MF,DF",24.0,5.0,0,3,1,33.3,0.6,0.2,0.0,0.0,19.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Joaquín,es ESP,"MF,FW",41.0,5.5,0,8,3,37.5,1.45,0.54,0.0,0.0,15.0,0,0,0,0.7,0.7,0.09,-0.7,-0.7,Matches
Juan Cruz,es ESP,FW,22.0,2.0,1,5,2,40.0,2.53,1.01,0.2,0.5,16.4,0,0,0,0.5,0.5,0.09,0.5,0.5,Matches
Felix Garreta,es ESP,DF,18.0,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Roberto González,es ESP,"FW,MF",21.0,0.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Loren Morón,es ESP,FW,28.0,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Fran Delgado,es ESP,DF,21.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,28.6,38.0,43,411,138,33.6,10.82,3.63,0.09,0.25,18.1,21,8,9,51.3,44.3,0.11,-8.3,-9.3,
Opponent Total,,,27.3,38.0,40,463,143,30.9,12.18,3.76,0.08,0.26,17.9,24,3,3,50.0,47.7,0.1,-10.0,-10.7,
