Name,Position,Age,Nationality,Current club,Season,MarketValueEuro,PrimaryNationality
David Silva,Attacking Midfield,35,Spain,Real Sociedad,2020,5000000.0,Spain
Ander Barrenetxea,Left Winger,19,Spain,Real Sociedad,2020,15000000.0,Spain
Martín Merquelanz,Left Winger,26,Spain,Real Sociedad,2020,2000000.0,Spain
Julen Lobete,Left Winger,20,Spain,Real Sociedad,2020,1500000.0,Spain
Portu,Right Winger,29,Spain,Real Sociedad,2020,20000000.0,Spain
Adnan Januzaj,Right Winger,26,Belgium,Real Sociedad,2020,12000000.0,Belgium
Robert Navarro,Right Winger,19,Spain,Real Sociedad,2020,3000000.0,Spain
Mikel Oyarzabal,Centre-Forward,24,Spain,Real Sociedad,2020,70000000.0,Spain
Alexander Isak,Centre-Forward,21,Sweden,Real Sociedad,2020,40000000.0,Sweden
Willian José,Centre-Forward,29,Brazil,Real Sociedad,2020,18000000.0,Brazil
Carlos Fernández,Centre-Forward,25,Spain,Real Sociedad,2020,9000000.0,Spain
Jon Bautista,Centre-Forward,25,Spain,Real Sociedad,2020,1200000.0,Spain
Álex Remiro,Goalkeeper,27,Spain,Real Sociedad,2021,22000000.0,Spain
Mathew Ryan,Goalkeeper,30,Australia,Real Sociedad,2021,5000000.0,Australia
Gaizka Ayesa,Goalkeeper,21,Spain,Real Sociedad,2021,1000000.0,Spain
Unai Marrero,Goalkeeper,20,Spain,Real Sociedad,2021,150000.0,Spain
Robin Le Normand,Centre-Back,25,Spain,Real Sociedad,2021,30000000.0,Spain
Aritz Elustondo,Centre-Back,28,Spain,Real Sociedad,2021,20000000.0,Spain
Igor Zubeldia,Centre-Back,25,Spain,Real Sociedad,2021,15000000.0,Spain
Jon Pacheco,Centre-Back,21,Spain,Real Sociedad,2021,1000000.0,Spain
Aihen Muñoz,Left-Back,24,Spain,Real Sociedad,2021,6000000.0,Spain
Diego Rico,Left-Back,29,Spain,Real Sociedad,2021,3000000.0,Spain
Nacho Monreal,Left-Back,36,Spain,Real Sociedad,2021,1000000.0,Spain
Jonathan Gómez,Left-Back,18,United States,Real Sociedad,2021,500000.0,United States
Cristo Romero,Left-Back,22,Spain,Real Sociedad,2021,300000.0,Spain
Andoni Gorosabel,Right-Back,25,Spain,Real Sociedad,2021,10000000.0,Spain
Joseba Zaldua,Right-Back,30,Spain,Real Sociedad,2021,4000000.0,Spain
Martín Zubimendi,Defensive Midfield,23,Spain,Real Sociedad,2021,30000000.0,Spain
Asier Illarramendi,Defensive Midfield,32,Spain,Real Sociedad,2021,3000000.0,Spain
Urko González de Zárate,Defensive Midfield,21,Spain,Real Sociedad,2021,1000000.0,Spain
Mikel Merino,Central Midfield,26,Spain,Real Sociedad,2021,50000000.0,Spain
Ander Guevara,Central Midfield,24,Spain,Real Sociedad,2021,5000000.0,Spain
Beñat Turrientes,Central Midfield,20,Spain,Real Sociedad,2021,3000000.0,Spain
Jon Guridi,Central Midfield,27,Spain,Real Sociedad,2021,1200000.0,Spain
Jon Ander Olasagasti,Central Midfield,21,Spain,Real Sociedad,2021,1000000.0,Spain
Rafinha,Attacking Midfield,29,Brazil,Real Sociedad,2021,9000000.0,Brazil
David Silva,Attacking Midfield,36,Spain,Real Sociedad,2021,4000000.0,Spain
Ander Barrenetxea,Left Winger,20,Spain,Real Sociedad,2021,9000000.0,Spain
Julen Lobete,Left Winger,21,Spain,Real Sociedad,2021,3000000.0,Spain
Naïs Djouahra,Left Winger,22,France,Real Sociedad,2021,1500000.0,France
Adnan Januzaj,Right Winger,27,Belgium,Real Sociedad,2021,12000000.0,Belgium
Portu,Right Winger,30,Spain,Real Sociedad,2021,9000000.0,Spain
Robert Navarro,Right Winger,20,Spain,Real Sociedad,2021,3000000.0,Spain
Germán Valera,Right Winger,20,Spain,Real Sociedad,2021,1500000.0,Spain
Ander Martín,Right Winger,21,Spain,Real Sociedad,2021,500000.0,Spain
Álex Sola,Right Winger,23,Spain,Real Sociedad,2021,300000.0,Spain
